stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100ABDARE1,Aberdare (Platform 1),51.7145226,-3.4418333,ABA,ABDARE,,Europe/London,0,1,910GABDARE,0
9100ABDARE2,Aberdare (Platform 2),51.7145226,-3.4418333,ABA,ABDARE,,Europe/London,0,2,910GABDARE,0
9100ABDVY1,Aberdovey (Platform 1),52.5443486,-4.0563163,AVY,ABDVY,,Europe/London,0,1,910GABDVY,0
9100ABDVYBUS,Aberdovey (Platform BUS),52.5443486,-4.0563163,AVY,ABDVY,,Europe/London,0,BUS,910GABDVY,0
9100ABER1,Aber (Platform 1),51.5748662,-3.2298096,ABE,ABER,,Europe/London,0,1,910GABER,0
9100ABER2,Aber (Platform 2),51.5748662,-3.2298096,ABE,ABER,,Europe/London,0,2,910GABER,0
9100ABERBUS,Aber (Platform BUS),51.5748662,-3.2298096,ABE,ABER,,Europe/London,0,BUS,910GABER,0
9100ABGLELE1,Abergele & Pensarn (Platform 1),53.2945866,-3.5826531,AGL,ABGLELE,,Europe/London,0,1,910GABGLELE,0
9100ABGLELE2,Abergele & Pensarn (Platform 2),53.2945866,-3.5826531,AGL,ABGLELE,,Europe/London,0,2,910GABGLELE,0
9100ABGLELEBUS,Abergele & Pensarn (Platform BUS),53.29457303057,-3.58262198838,AGL,ABGLELE,,Europe/London,0,BUS,910GABGLELE,0
9100ABRDEENBUS,Aberdeen (Platform BUS),57.1426487,-2.0976346,ABD,ABRDEEN,,Europe/London,1,BUS,910GABRDEEN,0
9100ABRE1,Abererch (Platform 1),52.8983791,-4.3749053,ABH,ABRE,,Europe/London,0,1,910GABRE,0
9100ABRGVNYBUS,Abergavenny (Platform BUS),51.81668982233,-3.0096467989,AGV,ABRGVNY,,Europe/London,0,BUS,910GABRGVNY,0
9100ABRYSTH1,Aberystwyth (Platform 1),52.4138938,-4.0815468,AYW,ABRYSTH,,Europe/London,1,1,910GABRYSTH,0
9100ABRYSTHBUS,Aberystwyth (Platform BUS),52.4138938,-4.0815468,AYW,ABRYSTH,,Europe/London,1,BUS,910GABRYSTH,0
9100ABWDBUS,Abbey Wood (Platform BUS),51.4909519,0.1202208,ABW,ABWD,,Europe/London,1,BUS,910GABWD,0
9100ACBG1,Acton Bridge (Cheshire) (Platform 1),53.2662973,-2.602769,ACB,ACBG,,Europe/London,2,1,910GACBG,0
9100ACBG2,Acton Bridge (Cheshire) (Platform 2),53.2662973,-2.602769,ACB,ACBG,,Europe/London,2,2,910GACBG,0
9100ACBG3,Acton Bridge (Cheshire) (Platform 3),53.2662973,-2.602769,ACB,ACBG,,Europe/London,2,3,910GACBG,0
9100ACBGBUS,Acton Bridge (Cheshire) (Platform BUS),53.26650719553,-2.6031265241,ACB,ACBG,,Europe/London,2,BUS,910GACBG,0
9100ACKLNGT1,Acklington (Platform 1),55.3072171,-1.6517687,ACK,ACKLNGT,,Europe/London,0,1,910GACKLNGT,0
9100ACKLNGT2,Acklington (Platform 2),55.3072171,-1.6517687,ACK,ACKLNGT,,Europe/London,0,2,910GACKLNGT,0
9100ACLE1,Acle (Platform 1),52.6346757,1.5439772,ACL,ACLE,,Europe/London,0,1,910GACLE,0
9100ACLE2,Acle (Platform 2),52.6346757,1.5439772,ACL,ACLE,,Europe/London,0,2,910GACLE,0
9100ACLEBUS,Acle (Platform BUS),52.63468201731,1.54391527585,ACL,ACLE,,Europe/London,0,BUS,910GACLE,0
9100ACOCKSG1,Acocks Green (Platform 1),52.4495299,-1.8192378,ACG,ACOCKSG,,Europe/London,0,1,910GACOCKSG,0
9100ACOCKSG2,Acocks Green (Platform 2),52.4495299,-1.8192378,ACG,ACOCKSG,,Europe/London,0,2,910GACOCKSG,0
9100ACRNGTNBUS,Accrington (Platform BUS),53.75297118076,-2.36954777807,ACR,ACRNGTN,,Europe/London,0,BUS,910GACRNGTN,0
9100ACTONML3,Acton Main Line (Platform 3),51.5169789,-0.2679825,AML,ACTONML,,Europe/London,1,3,910GACTONML,0
9100ACTONML4,Acton Main Line (Platform 4),51.5169789,-0.2679825,AML,ACTONML,,Europe/London,1,4,910GACTONML,0
9100ADERLYP1,Adderley Park (Platform 1),52.4830865,-1.8551418,ADD,ADERLYP,,Europe/London,0,1,910GADERLYP,0
9100ADERLYP2,Adderley Park (Platform 2),52.4830865,-1.8551418,ADD,ADERLYP,,Europe/London,0,2,910GADERLYP,0
9100ADISHAM1,Adisham (Platform 1),51.2413424,1.1987288,ADM,ADISHAM,,Europe/London,0,1,910GADISHAM,0
9100ADISHAM2,Adisham (Platform 2),51.2413424,1.1987288,ADM,ADISHAM,,Europe/London,0,2,910GADISHAM,0
9100ADISHAMBUS,Adisham (Platform BUS),51.24120153594,1.19908926763,ADM,ADISHAM,,Europe/London,0,BUS,910GADISHAM,0
9100ADLC1,Adlington (Cheshire) (Platform 1),53.3197238,-2.1336443,ADC,ADLC,,Europe/London,0,1,910GADLC,0
9100ADLC2,Adlington (Cheshire) (Platform 2),53.3197238,-2.1336443,ADC,ADLC,,Europe/London,0,2,910GADLC,0
9100ADLESTN1,Addlestone (Platform 1),51.3731128,-0.4845082,ASN,ADLESTN,,Europe/London,0,1,910GADLESTN,0
9100ADLESTN2,Addlestone (Platform 2),51.3731128,-0.4845082,ASN,ADLESTN,,Europe/London,0,2,910GADLESTN,0
9100ADLESTNBUS,Addlestone (Platform BUS),51.37304566372,-0.48445671716,ASN,ADLESTN,,Europe/London,0,BUS,910GADLESTN,0
9100ADNL1,Adlington (Lancashire) (Platform 1),53.6130719,-2.6028597,ADL,ADNL,,Europe/London,0,1,910GADNL,0
9100ADNL2,Adlington (Lancashire) (Platform 2),53.6130719,-2.6028597,ADL,ADNL,,Europe/London,0,2,910GADNL,0
9100AIRBLES1,Airbles (Platform 1),55.7823984,-3.9944314,AIR,AIRBLES,,Europe/London,0,1,910GAIRBLES,0
9100AIRBLES2,Airbles (Platform 2),55.7823984,-3.9944314,AIR,AIRBLES,,Europe/London,0,2,910GAIRBLES,0
9100ALBNHRCBUS,Albany Park (Platform BUS),51.4353837,0.1259653,AYP,ALBNHRC,,Europe/London,2,BUS,910GALBNYPK,0
9100ALBNYPK1,Albany Park (Platform 1),51.4353837,0.1259653,AYP,ALBNYPK,,Europe/London,2,1,910GALBNYPK,0
9100ALBNYPK2,Albany Park (Platform 2),51.4353837,0.1259653,AYP,ALBNYPK,,Europe/London,2,2,910GALBNYPK,0
9100ALBRGHT1,Albrighton (Platform 1),52.6382346,-2.2692137,ALB,ALBRGHT,,Europe/London,0,1,910GALBRGHT,0
9100ALBRGHT2,Albrighton (Platform 2),52.6382346,-2.2692137,ALB,ALBRGHT,,Europe/London,0,2,910GALBRGHT,0
9100ALDMSTNBUS,Aldermaston (Platform BUS),51.4022099,-1.1367025,AMT,ALDMSTN,,Europe/London,0,BUS,910GALDMSTN,0
9100ALDRSHTBUS,Aldershot (Platform BUS),51.24641837711,-0.75985979888,AHT,ALDRSHT,,Europe/London,1,BUS,910GALDRSHT,0
9100ALDTON1,Aldrington (Platform 1),50.8363558,-0.1817423,AGT,ALDTON,,Europe/London,2,1,910GALDTON,0
9100ALDTON2,Aldrington (Platform 2),50.8363558,-0.1817423,AGT,ALDTON,,Europe/London,2,2,910GALDTON,0
9100ALDTONBUS,Aldrington (Platform BUS),50.83638383869,-0.18382143408,AGT,ALDTON,,Europe/London,2,BUS,910GALDTON,0
9100ALERTNBUS,LIVERPOOL SOUTH PW HL (Platform BUS),53.3581339,-2.8888085,ALE,ALERTN,,Europe/London,0,BUS,910GLVRPSPY,0
9100ALEXNDPBUS,Alexandra Palace (Platform BUS),51.5982024,-0.1206625,AAP,ALEXNDP,,Europe/London,2,BUS,910GALEXNDP,0
9100ALFRETN1,Alfreton (Platform 1),53.1010582,-1.3698401,ALF,ALFRETN,,Europe/London,0,1,910GALFRETN,0
9100ALFRETN2,Alfreton (Platform 2),53.1010582,-1.3698401,ALF,ALFRETN,,Europe/London,0,2,910GALFRETN,0
9100ALFRETNBUS,Alfreton (Platform BUS),53.1010582,-1.3698401,ALF,ALFRETN,,Europe/London,0,BUS,910GALFRETN,0
9100ALLENSWBUS,Allens West (Platform BUS),54.52462276218,-1.36111669221,ALW,ALLENSW,,Europe/London,0,BUS,910GALLENSW,0
9100ALRESFD1,Alresford (Essex) (Platform 1),51.8539985,0.9970365,ALR,ALRESFD,,Europe/London,0,1,910GALRESFD,0
9100ALRESFD2,Alresford (Essex) (Platform 2),51.8539985,0.9970365,ALR,ALRESFD,,Europe/London,0,2,910GALRESFD,0
9100ALSAGER1,Alsager (Platform 1),53.0930252,-2.2988432,ASG,ALSAGER,,Europe/London,0,1,910GALSAGER,0
9100ALSAGER2,Alsager (Platform 2),53.0930252,-2.2988432,ASG,ALSAGER,,Europe/London,0,2,910GALSAGER,0
9100ALSHAM1,Aylesham (Platform 1),51.2274229,1.2095904,AYH,ALSHAM,,Europe/London,0,1,910GALSHAM,0
9100ALSHAM2,Aylesham (Platform 2),51.2274229,1.2095904,AYH,ALSHAM,,Europe/London,0,2,910GALSHAM,0
9100ALSHAMBUS,Aylesham (Platform BUS),51.22725429648,1.2094529054,AYH,ALSHAM,,Europe/London,0,BUS,910GALSHAM,0
9100ALTHORN1,Althorne (Essex) (Platform 1),51.6477849,0.7517966,ALN,ALTHORN,,Europe/London,1,1,910GALTHORN,0
9100ALTONBUS,Alton (Platform BUS),51.15196879112,-0.96691319996,AON,ALTON,,Europe/London,1,BUS,910GALTON,0
9100ALTRNHM3,Altrincham (Platform 3),53.3876561,-2.3470824,ALT,ALTRNHM,,Europe/London,1,3,910GALTRNHM,0
9100ALTRNHM4,Altrincham (Platform 4),53.3876561,-2.3470824,ALT,ALTRNHM,,Europe/London,1,4,910GALTRNHM,0
9100ALTRNHMBUS,Altrincham (Platform BUS),53.3876561,-2.3470824,ALT,ALTRNHM,,Europe/London,1,BUS,910GALTRNHM,0
9100ALXANDR1,Alexandria (Platform 1),55.9852719,-4.5773243,ALX,ALXANDR,,Europe/London,1,1,910GALXANDR,0
9100ALXANDRBUS,Alexandria (Platform BUS),55.98508314964,-4.57748423627,ALX,ALXANDR,,Europe/London,1,BUS,910GALXANDR,0
9100ALXPD1,Alexandra Parade (Platform 1),55.8633135,-4.2106057,AXP,ALXPD,,Europe/London,2,1,910GALXPD,0
9100ALXPD2,Alexandra Parade (Platform 2),55.8633135,-4.2106057,AXP,ALXPD,,Europe/London,2,2,910GALXPD,0
9100AMERSHM1,Amersham (Platform 1),51.6740875,-0.6073643,AMR,AMERSHM,,Europe/London,1,1,910GAMERSHM,0
9100AMERSHM2,Amersham (Platform 2),51.6740875,-0.6073643,AMR,AMERSHM,,Europe/London,1,2,910GAMERSHM,0
9100AMERSHM3,Amersham (Platform 3),51.6740875,-0.6073643,AMR,AMERSHM,,Europe/London,1,3,910GAMERSHM,0
9100AMLY1,Amberley (Platform 1),50.8966534,-0.5419326,AMY,AMLY,,Europe/London,0,1,910GAMLY,0
9100AMLY2,Amberley (Platform 2),50.8966534,-0.5419326,AMY,AMLY,,Europe/London,0,2,910GAMLY,0
9100AMMANFD1,Ammanford (Platform 1),51.7955509,-3.996828,AMF,AMMANFD,,Europe/London,0,1,910GAMMANFD,0
9100AMMANFDBUS,Ammanford (Platform BUS),51.79597472721,-3.99673488783,AMF,AMMANFD,,Europe/London,1,BUS,910GAMMANFD,0
9100ANCASTR1,Ancaster (Platform 1),52.987708,-0.5353535,ANC,ANCASTR,,Europe/London,0,1,910GANCASTR,0
9100ANCASTR2,Ancaster (Platform 2),52.987708,-0.5353535,ANC,ANCASTR,,Europe/London,0,2,910GANCASTR,0
9100ANDOVERBUS,Andover (Platform BUS),51.211559,-1.4927767,ADV,ANDOVER,,Europe/London,0,BUS,910GANDOVER,0
9100ANGMRNG1,Angmering (Platform 1),50.8165151,-0.4881271,ANG,ANGMRNG,,Europe/London,0,1,910GANGMRNG,0
9100ANGMRNG2,Angmering (Platform 2),50.8165151,-0.4881271,ANG,ANGMRNG,,Europe/London,0,2,910GANGMRNG,0
9100ANGMRNGBUS,Angmering (Platform BUS),50.81657531232,-0.48939393986,ANG,ANGMRNG,,Europe/London,0,BUS,910GANGMRNG,0
9100ANSLBUS,Anniesland (Platform BUS),55.88935027219,-4.32195682994,ANL,ANSL,,Europe/London,0,BUS,910GANSL,0
9100APBY1,Appleby (Platform 1),54.58041,-2.486536,APP,APBY,,Europe/London,0,1,910GAPBY,0
9100APBY2,Appleby (Platform 2),54.58041,-2.486536,APP,APBY,,Europe/London,0,2,910GAPBY,0
9100APBYBUS,Appleby (Platform BUS),54.58034642846,-2.48669223087,APP,APBY,,Europe/London,0,BUS,910GAPBY,0
