stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
AACHEN,,AACHEN,,50.767721,6.0912806
ABARASQ,,ABERAERON,,52.2426657140442,-4.25844089431583
ABCWM,,ABERCWMBOI SB,,51.6887337506097,-3.40013580539775
ABDAPEN,XPZ,PENYWAUN,,51.7305369,-3.4841037
ABDARAR,,ABERDARE,,51.7141615441566,-3.44306617359717
ABDARE,ABA,Aberdare Rail Station,,51.71505790608,-3.44308344608
ABDATRE,XTO,TRECYNON,,51.721419,-3.459253
ABDO,AUR,Aberdour Rail Station,,56.05459191149,-3.30056001734
ABDVY,AVY,Aberdovey Rail Station,,52.54395659957,-4.05706706793
ABER,ABE,Aber Rail Station,,51.5749655354,-3.22982847743
ABGLELE,AGL,Abergele & Pensarn Rail Station,,53.29457303057,-3.58262198838
ABGNWYN,,ABERGYNOLWYN,,52.6441864,-3.956269
ABHL811,,EDINBURGH SIGNAL 811,,55.9548684,-3.1728193
ABHLJN,,EDINBURGH ABBEYHILL,,55.9547575,-3.1732808
ABHLTB,,ABBEYHILL TURNBACK SDGS,,55.9547691859744,-3.17303925799607
ABIN521,,ABINGTON MC521 SIGNAL,,55.5038133,-3.6851619
ABIN528,,ABINGTON MC528 SIGNAL,,55.4881097,-3.6879396
ABINCE,,ABINGTON C.E.,,55.493271313591,-3.68591142626604
ABINDPL,,ABINGTON D.P.L.,,55.4953949680606,-3.68440337107281
ABINDS,,ABINGTON DOWN SIDING,,55.4932450228565,-3.68586281497539
ABINGTN,,ABINGTON,,55.4931755676734,-3.68568572566851
ABINUPL,,ABINGTON U.P.L.,,55.4953263,-3.6842586
ABINUS,,ABINGTON UP SIDING,,55.4929896,-3.6856619
ABJN,,ABER JN,,,
ABLCXX,DOE,DOLE,,,
ABNGHST,,ABINGDON DID BUS,,51.673175075901,-1.28121799061372
ABNGSTR,,ABINGDON DID BUS,,51.673175075901,-1.28121799061372
ABNGWAY,,ABINGDON STRATTON WAY BUS STOP,,,
ABRBEG,,ABERBEEG JN,,51.7098164415501,-3.14484279970198
ABRC187,,ABERCYNON SIGNAL A187,,51.6451770676761,-3.32692268265769
ABRCJN,,ABERCYNON JUNCTION,,51.6451794222869,-3.32694232886996
ABRCYNN,,Abercynon North Rail Station,,51.64531320611,-3.32680325647
ABRCYNS,ACY,Abercynon Rail Station,,51.643449909,-3.32856986148
ABRD15,,ABERDEEN SIG A15,,57.1284738,-2.0919696
ABRD222,,NEWTONHILL SIG A222,,57.034672,-2.1485985
ABRD223,,NEWTONHILL SIG A223,,57.0305933,-2.149684
ABRD229,,ABERDEEN A229 SIGNAL,,57.0780726,-2.1095556
ABRD230,,ABERDEEN A230 SIGNAL,,57.1018048,-2.0773503
ABRD27,,ABERDEEN SIG A27,,57.1368873874264,-2.09752110430989
ABRD55,,ABERDEEN A55 SIGNAL,,57.1309649,-2.0613215
ABRD56,,ABERDEEN A56 SIGNAL,,57.1309942,-2.0613057
ABRD75,,ABERDEEN SIGNAL A75,,57.1388711879511,-2.09729767023696
ABRD77,,ABERDEEN SIGNAL A77,,57.1388552406012,-2.09720387216517
ABRDCH,XAC,EXTERNAL WASHERS ABERDEEN,,57.141108959343,-2.09832227616695
ABRDEEN,ABD,Aberdeen Rail Station,,57.14370402316,-2.0986851221
ABRDFDS,,CE SIDING,,57.1327393098335,-2.09860670006606
ABRDFGL,,ABERDEEN FERRYHILL GOODS LINE,,57.1357744312412,-2.09741435547918
ABRDFJN,,FERRYHILL JN,,57.1352897671041,-2.09760293972097
ABRDFTT,,ABERDEEN FERRYHILL TT,,57.1312525,-2.0998377
ABRDFUS,,FERRYHILL SDG,,57.1380188046463,-2.09707221911339
ABRDGBR,,ABERDEEN GUILD STREET GBRF,,57.1428804978301,-2.09593092397674
ABRDNGS,,ABERDEEN GUILD ST F.D. DELETE,,57.1428265613012,-2.09598035843728
ABRDNHS,,ABERDEEN H.S.,,57.1428439428356,-2.09672398438831
ABRDNS,,ABERDEEN NORTH SIDING,,57.1469961637018,-2.10319683292746
ABRDPDK,,ABERDEEN PARCELS DOCK,,57.1428167720724,-2.0970048228656
ABRDRSL,,ABERDEEN RUSSELL J.G.,,57.1434297278749,-2.09429641988029
ABRDSVC,,ABERDEEN SERVICE CO,,,
ABRDWAT,,ABERDEEN WATERLOO,,57.14872419548,-2.08719032758907
ABRDWCR,,ABERDEEN WATERLOO COLAS,,57.1428450297891,-2.09597140831545
ABRDWGB,,ABERDEEN WATERLOO GOODS,,57.147233081742,-2.08622877447926
ABRE,ABH,Abererch Rail Station,,52.89858306624,-4.37417543673
ABRFRWD,AFD,ABERFFRWD,,,
ABRGPGN,,PENPERGWN,,51.784588664598,-2.97900827627402
ABRGS38,,ABERGAVENNY SIG 38,,51.9005906,-2.9654979
ABRGS42,,ABERGAVENNY SIG AY42,,51.8110106,-3.0081956
ABRGUS,,ABERGAVENNY UP SIDINGS,,51.8146237327296,-3.0088519774792
ABRGVNY,AGV,Abergavenny Rail Station,,51.81668982233,-3.0096467989
ABRPGWM,,ABERPERGWM,,51.7393800222339,-3.64518972028323
ABRYAFO,,AFON WEN LC,,52.9100943293146,-4.30612293782099
ABRYCRL,,ABERYSTWYTH KRONO COLAS,,52.4126691,-4.0798126
ABRYRRL,,ABERYSTWYTH RUN ROUND LOOP,,52.4126948387417,-4.07983762708677
ABRYSHE,,SHELL(ABERYSTWTH OIL DISTRBTR),,52.4105248673389,-4.07654135478886
ABRYSNS,,ABERYSTWYTH STATION SDGS,,52.4149573271154,-4.08194722826377
ABRYSTH,AYW,Aberystwyth Rail Station,,52.41404494843,-4.08189352291
ABTH,,ABERTHAW,,51.3893728505387,-3.38800214433265
ABTH222,,ABERTHAW AW 222,,51.4145246,-3.4940812
ABTH231,,ABERTHAW AW231,,51.4464879918591,-3.5254729114031
ABTH433,,ABERTHAW SIG CF3433,,51.4145081081852,-3.49407454317525
ABTH440,,ABERTHAW SIG CF3440,,51.4465231035855,-3.52546324150245
ABTHA13,,ABERTHAW SIGNAL A13,,51.3887244360674,-3.39945981899472
ABTHA39,,ABERTHAW SIGNAL A13,,51.3887335966718,-3.3994457261006
ABTHCFH,,ABERTHAW PS CRIP SDG FHH,,51.3888336147755,-3.39995485093498
ABTHCRL,,ABERTHAW PS COLAS RAIL,,51.3859386157092,-3.40167566763749
ABTHLAF,,ABERTHAW CEMENT WORKS LAFARGE,,51.39455954295,-3.3906663090571
ABTHOSD,,ABERTHAW N.P.OIL SDG,,51.3890133491244,-3.4001153939066
ABTHPS,,ABERTHAW POWER STATION EWS,,51.3852443636384,-3.39668155690547
ABTHPST,,ABERTHAW PWR STN FLINER HVY HL,,51.385248859483,-3.39668159577501
ABTHRCP,,ABERTHAW RECEPTION SDGS,,51.3913579501628,-3.390265357199
ABTHRFH,,ABERTHAW DN REC SDG FHH,,51.389202179361,-3.3882205898265
ABTHTCR,,ABERTHAW TARMAC COLAS RAIL,,51.3963225588889,-3.39048727631326
ABTHWCC,,ABERTHAW BRIS CHNL CEMENT EWS,,51.3997403056274,-3.40018415325696
ABTS654,,ABBOTSWOOD JN BA7654 SIG,,52.151972,-2.1642718
ABTSWDJ,XAY,BR ABBOTSWOOD JN ENG SIDING,,52.1473081572796,-2.16308048839986
ABWD,ABW,Abbey Wood (London) Rail Station,,51.49106246827,0.12139411536
ABWDARJ,,ALSIKE ROAD JUNCTION,,51.4914212940347,0.132337946876929
ABWDER,,ABBEY WOOD ENGINEERING RD,,51.4912817392595,0.123413743404168
ABWDXR,ABW,Abbey Wood,,51.4907659486415,0.120342008525288
ABWDXRS,,ABBEY WOOD CROSSRAIL SDG,,51.491287049606,0.123416988366216
ACBG,ACB,Acton Bridge Rail Station,,53.26650719553,-2.6031265241
